id,store,title,provider_product_id,new_provider_product_id,product_url,image_url
a04a6bc5-9967-43c5-b44e-c28a60b5cdbd,asda,ASDA Long Grain Rice 1kg,https://www.asda.com/groceries/product/long-grain-basmati-rice/just-essentials-by-asda-just-essentials-long-grain-rice-1kg/443428,,https://www.asda.com/groceries/product/long-grain-basmati-rice/just-essentials-by-asda-just-essentials-long-grain-rice-1kg/443428,
9ed53d10-e39a-4f4e-af2c-4cc3a8a4f4d0,asda,ASDA mushrooms 100g,https://www.asda.com/groceries/product/pate-spread/merry-mushroom-pate-100g/9294986,,https://www.asda.com/groceries/product/pate-spread/merry-mushroom-pate-100g/9294986,
229ba650-21b4-4dd7-a4b8-b24d3c210d40,asda,ASDA noodles 300g,https://www.asda.com/groceries/product/stir-fry/asda-soft-savoury-free-range-egg-noodles-300g/5996927,,https://www.asda.com/groceries/product/stir-fry/asda-soft-savoury-free-range-egg-noodles-300g/5996927,
3ede5f90-e8b5-46ce-8796-fc11a8fc79c8,asda,ASDA Olive Oil 500ml,https://www.asda.com/groceries/product/olive-oil/asda-extra-virgin-olive-oil-500ml/9019012,,https://www.asda.com/groceries/product/olive-oil/asda-extra-virgin-olive-oil-500ml/9019012,
26dfa551-0c25-4204-9269-21e19f8e943d,asda,ASDA pancetta 200g,https://www.asda.com/groceries/product/bacon/asda-diced-smoked-pancetta-2-x-80g-160g-/7452883,,https://www.asda.com/groceries/product/bacon/asda-diced-smoked-pancetta-2-x-80g-160g-/7452883,
a6a26c0b-d35f-4541-ad03-47825fb4d41d,asda,ASDA paprika 100ml,https://www.asda.com/groceries/product/indian-asian-cooking-ingredients/rajah-paprika-powder-100g/20675,,https://www.asda.com/groceries/product/indian-asian-cooking-ingredients/rajah-paprika-powder-100g/20675,
a9a56be8-df0c-45ac-a477-c438b150c95b,asda,ASDA parmesan 200g,https://www.asda.com/groceries/product/parmesan-hard-cheese/asda-parmigiano-reggiano-pdo-200g/9244260,,https://www.asda.com/groceries/product/parmesan-hard-cheese/asda-parmigiano-reggiano-pdo-200g/9244260,
e5a4ca24-701b-42f0-8c5b-8ea2d58e533d,asda,ASDA parsley 100g,https://www.asda.com/groceries/product/herbs/asda-delicate-peppery-growing-curly-parsley/381146,,https://www.asda.com/groceries/product/herbs/asda-delicate-peppery-growing-curly-parsley/381146,
70d68f17-7434-4e76-942e-4b224f4100f8,asda,ASDA Red Onions 1kg,https://www.asda.com/groceries/product/onions-leeks/asda-sweet-crunchy-red-onions-1kg/2704021,,https://www.asda.com/groceries/product/onions-leeks/asda-sweet-crunchy-red-onions-1kg/2704021,
c5924c34-c4ad-498a-ae37-53316788af7c,asda,ASDA salmon 100g,https://www.asda.com/groceries/product/smoked-salmon/exceptional-by-asda-mild-delicate-scottish-smoked-salmon-100g/9117740,,https://www.asda.com/groceries/product/smoked-salmon/exceptional-by-asda-mild-delicate-scottish-smoked-salmon-100g/9117740,
79a26455-2128-4b21-b7d6-ce6154477ba1,asda,ASDA soy sauce 15ml,https://www.asda.com/groceries/product/soy-sauce-fish-sauce/asda-light-soy-sauce-150ml/7734510,,https://www.asda.com/groceries/product/soy-sauce-fish-sauce/asda-light-soy-sauce-150ml/7734510,
11ee35c9-1a75-42af-bbe6-ed7b4d653b8b,asda,ASDA Spaghetti 500g,https://www.asda.com/groceries/product/spaghetti-tagliatelle/asda-spaghetti-500g/12943,,https://www.asda.com/groceries/product/spaghetti-tagliatelle/asda-spaghetti-500g/12943,
31cb5724-7d3e-45ee-870d-db01d5903799,asda,ASDA spinach 100g,https://www.asda.com/groceries/product/salad-bags/asda-mild-tender-baby-spinach-180g/5274313,,https://www.asda.com/groceries/product/salad-bags/asda-mild-tender-baby-spinach-180g/5274313,
ab133d9a-be54-40f5-9f01-3e4c221a4fd5,asda,ASDA spring onion,https://www.asda.com/groceries/product/celery-spring-onions/asda-fragrant-crunchy-spring-onions/1787074,,https://www.asda.com/groceries/product/celery-spring-onions/asda-fragrant-crunchy-spring-onions/1787074,
6bb369a3-899d-4753-ada1-06e8b90b78d7,asda,ASDA stock 100ml,https://www.asda.com/groceries/product/stock/oxo-oxo-beef-stock-cubes-24s-142g-/4052433,,https://www.asda.com/groceries/product/stock/oxo-oxo-beef-stock-cubes-24s-142g-/4052433,
b9ed3644-95d1-4c95-9c65-7c00ad1fa453,asda,ASDA tomatoes 100g,https://www.asda.com/groceries/product/tinned-tomatoes/napolina-chopped-tomatoes-with-garlic-400g/1473903,,https://www.asda.com/groceries/product/tinned-tomatoes/napolina-chopped-tomatoes-with-garlic-400g/1473903,
09eceda2-8cf0-41c6-835a-3311e1c298ff,asda,ASDA tortilla,https://www.asda.com/groceries/product/tapas-antipasti/asda-tortilla-500g/6697518,,https://www.asda.com/groceries/product/tapas-antipasti/asda-tortilla-500g/6697518,
98f6af2b-a134-41e4-bff3-3727a6226c6f,asda,ASDA wine 100ml,https://www.asda.com/groceries/product/513029,,https://www.asda.com/groceries/product/513029,
1ee192d6-b9f8-4292-ba2f-7c6d7ea67694,asda,Cathedral City Our Mature Cheddar Cheese 350g,https://www.asda.com/groceries/product/mature-cheese/cathedral-city-our-mature-cheddar-cheese-350g/3658568,,https://www.asda.com/groceries/product/mature-cheese/cathedral-city-our-mature-cheddar-cheese-350g/3658568,https://asdagroceries.scene7.com/is/image/asdagroceries/5000295142893_T1
826e3ca7-e51e-4d59-aa33-c8a2fca545a0,morrisons,Cathedral City Extra Mature Cheddar Cheese 350g,https://groceries.morrisons.com/products/cathedral-city-extra-mature-cheddar-cheese-350g/103128171,,https://groceries.morrisons.com/products/cathedral-city-extra-mature-cheddar-cheese-350g/103128171,https://groceries.morrisons.com/images-v3/4b85987b-1398-4173-a0c1-3546047c9d74/074d520d-4106-4369-b06c-2e50d4f36c31/1280x1280.webp
cce2e3bc-f096-4b78-bfdc-5db6ca51db78,morrisons,Morrisons basil 20g,https://groceries.morrisons.com/products/market-street-fresh-thai-basil-20g/114493384?srsltid=AfmBOoqZgS1aC78_Sv-kbSnB4HAmYFJqoUZaOH2I07mrRFkkve8-yyKg,,https://groceries.morrisons.com/products/market-street-fresh-thai-basil-20g/114493384?srsltid=AfmBOoqZgS1aC78_Sv-kbSnB4HAmYFJqoUZaOH2I07mrRFkkve8-yyKg,
9906e58f-6e37-463b-b80c-ca4449ca63de,morrisons,Morrisons beef 500g,https://groceries.morrisons.com/products/morrisons-british-beef-steak-mince-5-fat-500g/107778007?srsltid=AfmBOoot6H1QYIwLZzA9PT_QG_HkqntWP_LAcredGgsXp0ZRR2YXSUWA,,https://groceries.morrisons.com/products/morrisons-british-beef-steak-mince-5-fat-500g/107778007?srsltid=AfmBOoot6H1QYIwLZzA9PT_QG_HkqntWP_LAcredGgsXp0ZRR2YXSUWA,
